Rank,Team Name,Total Solved,Penalty
49 , AUST_Shunno7  ,3 , 115
53 , AUST_RedX  ,3 , 145
107 , AUST_Samakal  , 3 , 344
323	, AUST_Tactless  , 2 , 112
339, AUST_Innovators ,2 ,116
366	,AUST_DoOrDie,  2, 127
398	,আবিপ্রবি_অতন্দ্র ,2 ,140
402, AUST_POP_CORN ,2 ,143
447,AUST_ternary_brains,2 ,161
471	,Tiny Coders,2, 171
494	,AUST_EMERGE ,2 ,186
541	,Terminal Stack ,2, 214
586 ,Aust_Encapsulated,2 ,257
602	,AUST_SHESH_BELA ,2 ,271
633 ,Prohelika ,2 ,301
711	,AUST_3Gen ,2 ,396
830	,Crazy_Bunch ,1 ,51
869	, AUST_Vanquishers ,1 ,67
871	,AUST_parmunaTriangle , 1 ,69
981	, Phantom 49  ,1 ,110
1149 ,Aust_Code_Crusaders  ,1 ,196
1788  , oneandzero  ,0 ,0
1816  ,The Binary Brigade ,0 ,0
1943 , noobCoders ,0 ,0
2307 , CodeForLiving  ,0  ,0















